1787792376.544      0 10.0.1.4 NONE_NONE/000 0 - error:transaction-end-before-headers - HIER_NONE/- -
1787794165.446 730385 10.0.1.4 TCP_TUNNEL/200 289487407 CONNECT download.microsoft.com:443 - HIER_DIRECT/204.79.197.219 -
1787795043.759    100 10.0.1.4 TCP_TUNNEL/200 10010 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795143.094 100077 10.0.1.4 TCP_TUNNEL/200 8510 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795143.318 100301 10.0.1.4 TCP_TUNNEL/200 11056 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795144.818    185 10.0.1.4 TCP_TUNNEL/200 11699 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795146.355   1220 10.0.1.4 TCP_TUNNEL/200 13162 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795151.091     83 10.0.1.4 TCP_TUNNEL/200 6758 CONNECT asgardprodjapaneast-11.servicebus.windows.net:443 - HIER_DIRECT/48.210.2.0 -
1787795155.151     67 10.0.1.4 TCP_TUNNEL/200 8557 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795178.159  20059 10.0.1.4 TCP_TUNNEL/200 8557 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795191.240    130 10.0.1.4 TCP_TUNNEL/200 13378 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795191.416    119 10.0.1.4 TCP_TUNNEL/200 14802 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795191.480     41 10.0.1.4 TCP_TUNNEL/200 12803 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795192.788   1195 10.0.1.4 TCP_TUNNEL/200 8755 CONNECT ne.frontend.clouddatahub.net:443 - HIER_DIRECT/4.207.242.79 -
1787795221.470    120 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795252.613     98 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795255.106 110601 10.0.1.4 TCP_TUNNEL/200 16799 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795277.805     78 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795298.106 139683 10.0.1.4 TCP_TUNNEL/200 11623 CONNECT g8-prod-ty-vaz00001-sb.servicebus.windows.net:443 - HIER_DIRECT/48.210.2.8 -
1787795303.397     97 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795334.321     74 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795364.235     82 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795394.122     82 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795424.779     83 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795454.442     88 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795481.445     74 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795512.692     90 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795546.084    100 10.0.1.4 TCP_TUNNEL/200 10010 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795577.425     86 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795599.283 120126 10.0.1.4 TCP_TUNNEL/200 11644 CONNECT g9-prod-ty-vaz00001-sb.servicebus.windows.net:443 - HIER_DIRECT/48.210.2.15 -
1787795610.283     89 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795639.117     96 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
1787795671.905     78 10.0.1.4 TCP_TUNNEL/200 10011 CONNECT jpe.frontend.clouddatahub.net:443 - HIER_DIRECT/20.210.70.91 -
